experiment-id,analyser-qos,instancecount,publisher-qos,delay,nconnected-clients,avg-heap-size,max-heap-size,npub-msg-recv,npub-msg-sent,npub-msg-dropped
experiment1-2-1-1,1,2,1,1,0,85224,0,3035894,3037853,0
experiment1-2-1-2,1,2,1,2,0,85076,0,3058190,3060173,0
experiment1-2-1-4,1,2,1,4,0,85076,0,3077199,3079210,0
experiment1-2-2-0,1,2,2,0,0,84962,0,3108776,3110811,0
experiment1-2-2-1,1,2,2,1,0,86134,0,3142432,3144496,0
experiment1-2-2-2,1,2,2,2,0,84962,0,3169104,3171199,0
experiment1-2-2-4,1,2,2,4,0,84962,0,3184114,3186233,0
experiment1-3-0-0,1,3,0,0,0,84632,0,3237079,3239224,0
experiment1-3-0-1,1,3,0,1,0,0,0,3281598,3283765,0
experiment1-3-0-2,1,3,0,2,0,0,0,3324428,3326619,0
experiment1-3-0-4,1,3,0,4,0,0,0,3347112,3349325,0
experiment1-3-1-0,1,3,1,0,0,85520,0,3394905,3397145,0
experiment1-3-1-1,1,3,1,1,0,85164,0,3438938,3441205,0
experiment1-3-1-2,1,3,1,2,0,85125,0,3482311,3484605,0
experiment1-3-1-4,1,3,1,4,0,85283,0,3510103,3512426,0
experiment1-3-2-0,1,3,2,0,0,85376,0,3563862,3566208,0
experiment1-3-2-1,1,3,2,1,0,85177,0,3614658,3617034,0
experiment1-3-2-2,1,3,2,2,0,85190,0,3648157,3650558,0
experiment1-3-2-4,1,3,2,4,0,85045,0,3677173,3679602,0
experiment1-4-0-0,1,4,0,0,0,84632,0,3733477,3735931,0
experiment1-4-0-1,1,4,0,1,0,0,0,3804176,3806654,0
experiment1-4-0-2,1,4,0,2,0,0,0,3813159,3815651,0
experiment1-4-0-4,1,4,0,4,0,0,0,0,0,0
experiment1-4-1-0,1,4,1,0,0,0,0,0,0,0
experiment1-4-1-1,1,4,1,1,0,0,0,0,0,0
experiment1-4-1-2,1,4,1,2,0,0,0,0,0,0
experiment1-4-1-4,1,4,1,4,0,0,0,0,0,0
experiment1-4-2-0,1,4,2,0,0,0,0,0,0,0
experiment1-4-2-1,1,4,2,1,0,0,0,0,0,0
experiment1-4-2-2,1,4,2,2,0,0,0,0,0,0
experiment1-4-2-4,1,4,2,4,0,0,0,0,0,0
experiment1-5-0-0,1,5,0,0,0,0,0,0,0,0
experiment1-5-0-1,1,5,0,1,0,0,0,0,0,0
experiment1-5-0-2,1,5,0,2,0,0,0,0,0,0
experiment1-5-0-4,1,5,0,4,0,0,0,0,0,0
experiment1-5-1-0,1,5,1,0,0,0,0,0,0,0
experiment1-5-1-1,1,5,1,1,0,0,0,0,0,0
experiment1-5-1-2,1,5,1,2,0,0,0,0,0,0
experiment1-5-1-4,1,5,1,4,0,0,0,0,0,0
experiment1-5-2-0,1,5,2,0,0,0,0,0,0,0
experiment1-5-2-1,1,5,2,1,0,0,0,0,0,0
experiment1-5-2-2,1,5,2,2,0,0,0,0,0,0
experiment1-5-2-4,1,5,2,4,0,0,0,0,0,0
experiment2-1-0-0,2,1,0,0,0,0,0,0,0,0
experiment2-1-0-1,2,1,0,1,0,0,0,0,0,0
experiment2-1-0-2,2,1,0,2,0,0,0,0,0,0
experiment2-1-0-4,2,1,0,4,0,0,0,0,0,0
experiment2-1-1-0,2,1,1,0,0,0,0,0,0,0
experiment2-1-1-1,2,1,1,1,0,0,0,0,0,0
experiment2-1-1-2,2,1,1,2,0,0,0,0,0,0
experiment2-1-1-4,2,1,1,4,0,0,0,0,0,0
experiment2-1-2-0,2,1,2,0,0,0,0,0,0,0
experiment2-1-2-1,2,1,2,1,0,0,0,0,0,0
experiment2-1-2-2,2,1,2,2,0,0,0,0,0,0
experiment2-1-2-4,2,1,2,4,0,0,0,0,0,0
experiment2-2-0-0,2,2,0,0,0,0,0,0,0,0
experiment2-2-0-1,2,2,0,1,0,0,0,0,0,0
experiment2-2-0-2,2,2,0,2,0,0,0,0,0,0
experiment2-2-0-4,2,2,0,4,0,0,0,0,0,0
experiment2-2-1-0,2,2,1,0,0,0,0,0,0,0
experiment2-2-1-1,2,2,1,1,0,0,0,0,0,0
experiment2-2-1-2,2,2,1,2,0,0,0,0,0,0
experiment2-2-1-4,2,2,1,4,0,0,0,0,0,0
experiment2-2-2-0,2,2,2,0,0,0,0,0,0,0
experiment2-2-2-1,2,2,2,1,0,0,0,0,0,0
experiment2-2-2-2,2,2,2,2,0,0,0,0,0,0
experiment2-2-2-4,2,2,2,4,0,0,0,0,0,0
experiment2-3-0-0,2,3,0,0,0,0,0,0,0,0
experiment2-3-0-1,2,3,0,1,0,0,0,0,0,0
experiment2-3-0-2,2,3,0,2,0,0,0,0,0,0
experiment2-3-0-4,2,3,0,4,0,0,0,0,0,0
experiment2-3-1-0,2,3,1,0,0,0,0,0,0,0
experiment2-3-1-1,2,3,1,1,0,0,0,0,0,0
experiment2-3-1-2,2,3,1,2,0,0,0,0,0,0
experiment2-3-1-4,2,3,1,4,0,0,0,0,0,0
experiment2-3-2-0,2,3,2,0,0,0,0,0,0,0
experiment2-3-2-1,2,3,2,1,0,0,0,0,0,0
experiment2-3-2-2,2,3,2,2,0,0,0,0,0,0
experiment2-3-2-4,2,3,2,4,0,0,0,0,0,0
experiment2-4-0-0,2,4,0,0,0,0,0,0,0,0
experiment2-4-0-1,2,4,0,1,0,0,0,0,0,0
experiment2-4-0-2,2,4,0,2,0,0,0,0,0,0
experiment2-4-0-4,2,4,0,4,0,0,0,0,0,0
experiment2-4-1-0,2,4,1,0,0,0,0,0,0,0
experiment2-4-1-1,2,4,1,1,0,0,0,0,0,0
experiment2-4-1-2,2,4,1,2,0,0,0,0,0,0
experiment2-4-1-4,2,4,1,4,0,0,0,0,0,0
experiment2-4-2-0,2,4,2,0,0,0,0,0,0,0
experiment2-4-2-1,2,4,2,1,0,0,0,0,0,0
experiment2-4-2-2,2,4,2,2,0,0,0,0,0,0
experiment2-4-2-4,2,4,2,4,0,0,0,0,0,0
experiment2-5-0-0,2,5,0,0,0,0,0,0,0,0
experiment2-5-0-1,2,5,0,1,0,0,0,0,0,0
experiment2-5-0-2,2,5,0,2,0,0,0,0,0,0
experiment2-5-0-4,2,5,0,4,0,0,0,0,0,0
experiment2-5-1-0,2,5,1,0,0,0,0,0,0,0
experiment2-5-1-1,2,5,1,1,0,0,0,0,0,0
experiment2-5-1-2,2,5,1,2,0,0,0,0,0,0
experiment2-5-1-4,2,5,1,4,0,0,0,0,0,0
experiment2-5-2-0,2,5,2,0,0,0,0,0,0,0
experiment2-5-2-1,2,5,2,1,0,0,0,0,0,0
experiment2-5-2-2,2,5,2,2,0,0,0,0,0,0
experiment2-5-2-4,2,5,2,4,0,0,0,0,0,0
