experiment-id,analyser-qos,instancecount,publisher-qos,delay,topic,message-rate,loss-rate,out-of-order-rate,inter-message-gap
experiment0-1-0-0,0,1,0,0,counter/1/0/0,389.73333333333335,0,0,1
experiment0-2-0-0,0,2,0,0,counter/1/0/0,384.03333333333336,0,0,1
experiment0-2-0-0,0,2,0,0,counter/2/0/0,384.2,0,0,1
experiment0-3-0-0,0,3,0,0,counter/1/0/0,405.43333333333334,0,0,1
experiment0-3-0-0,0,3,0,0,counter/2/0/0,405.7,0,0,1
experiment0-3-0-0,0,3,0,0,counter/3/0/0,406.15,0,0,1
experiment0-4-0-0,0,4,0,0,counter/1/0/0,466.53333333333336,0,0,1
experiment0-4-0-0,0,4,0,0,counter/2/0/0,466.1,0,0,1
experiment0-4-0-0,0,4,0,0,counter/3/0/0,466.25,0,0,1
experiment0-4-0-0,0,4,0,0,counter/4/0/0,466.4166666666667,0,0,1
experiment0-5-0-0,0,5,0,0,counter/1/0/0,382.95,0,0,1
experiment0-5-0-0,0,5,0,0,counter/2/0/0,382.96666666666664,0,0,1
experiment0-5-0-0,0,5,0,0,counter/3/0/0,383.0833333333333,0,0,1
experiment0-5-0-0,0,5,0,0,counter/4/0/0,382.8333333333333,0,0,1
experiment0-5-0-0,0,5,0,0,counter/5/0/0,382.71666666666664,0,0,1
experiment0-6-0-0,0,6,0,0,counter/1/0/0,469.45,0,0,1
experiment0-6-0-0,0,6,0,0,counter/2/0/0,469.75,0,0,1
experiment0-6-0-0,0,6,0,0,counter/3/0/0,469.56666666666666,0,0,1
experiment0-6-0-0,0,6,0,0,counter/4/0/0,469.6666666666667,0,0,1
experiment0-6-0-0,0,6,0,0,counter/5/0/0,469.56666666666666,0,0,1
experiment0-6-0-0,0,6,0,0,counter/6/0/0,470.1166666666667,0,0,1
experiment0-7-0-0,0,7,0,0,counter/1/0/0,424.1333333333333,0,0,1
experiment0-7-0-0,0,7,0,0,counter/2/0/0,423.78333333333336,0,0,1
experiment0-7-0-0,0,7,0,0,counter/3/0/0,423.73333333333335,0,0,1
experiment0-7-0-0,0,7,0,0,counter/4/0/0,423.48333333333335,0,0,1
experiment0-7-0-0,0,7,0,0,counter/5/0/0,423.95,0,0,1
experiment0-7-0-0,0,7,0,0,counter/6/0/0,423.75,0,0,1
experiment0-7-0-0,0,7,0,0,counter/7/0/0,423.98333333333335,0,0,1
experiment0-8-0-0,0,8,0,0,counter/1/0/0,532.3333333333334,0,0,1
experiment0-8-0-0,0,8,0,0,counter/2/0/0,532.0333333333333,0,0,1
experiment0-8-0-0,0,8,0,0,counter/3/0/0,532.1,0,0,1
experiment0-8-0-0,0,8,0,0,counter/4/0/0,532.55,0,0,1
experiment0-8-0-0,0,8,0,0,counter/5/0/0,532.3833333333333,0,0,1
experiment0-8-0-0,0,8,0,0,counter/6/0/0,531.8,0,0,1
experiment0-8-0-0,0,8,0,0,counter/7/0/0,532.15,0,0,1
experiment0-8-0-0,0,8,0,0,counter/8/0/0,532.65,0,0,1
experiment0-9-0-0,0,9,0,0,counter/1/0/0,536.4,0,0,1
experiment0-9-0-0,0,9,0,0,counter/2/0/0,536.3833333333333,0,0,1
experiment0-9-0-0,0,9,0,0,counter/3/0/0,536.0333333333333,0,0,1
experiment0-9-0-0,0,9,0,0,counter/4/0/0,535.9833333333333,0,0,1
experiment0-9-0-0,0,9,0,0,counter/5/0/0,536.3666666666667,0,0,1
experiment0-9-0-0,0,9,0,0,counter/6/0/0,535.7,0,0,1
experiment0-9-0-0,0,9,0,0,counter/7/0/0,535.9666666666667,0,0,1
experiment0-9-0-0,0,9,0,0,counter/8/0/0,536.1166666666667,0,0,1
experiment0-9-0-0,0,9,0,0,counter/9/0/0,536.1333333333333,0,0,1
experiment0-10-0-0,0,10,0,0,counter/1/0/0,459.51666666666665,0,0,1
experiment0-10-0-0,0,10,0,0,counter/2/0/0,459.01666666666665,0,0,1
experiment0-10-0-0,0,10,0,0,counter/3/0/0,459.6333333333333,0,0,1
experiment0-10-0-0,0,10,0,0,counter/4/0/0,459.56666666666666,0,0,1
experiment0-10-0-0,0,10,0,0,counter/5/0/0,459.71666666666664,0,0,1
experiment0-10-0-0,0,10,0,0,counter/6/0/0,459.1666666666667,0,0,1
experiment0-10-0-0,0,10,0,0,counter/7/0/0,459.4166666666667,0,0,1
experiment0-10-0-0,0,10,0,0,counter/8/0/0,459.46666666666664,0,0,1
experiment0-10-0-0,0,10,0,0,counter/9/0/0,459.1,0,0,1
experiment0-10-0-0,0,10,0,0,counter/10/0/0,459.1333333333333,0,0,1
